"FDAapprovedDrugs","silver(1+) ion 4-{[(pyrimidin-2-yl)azanidyl]sulfonyl}aniline,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1"
"FDAapprovedDrugs","(1R,2S,10S,11S,14R,15S,17S)-1-fluoro-14,17-dihydroxy-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","(1S,2R,10S,11S,14R,15S)-14-hydroxy-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-diene-5,17-dione","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"FDAapprovedDrugs","2-[(1S,2R,10S,11S,14R,15S,17S)-14,17-dihydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-yl]-2-oxoethyl 2-(diethylamino)acetate","[H][C@@]12CC[C@](O)(C(=O)COC(=O)CN(CC)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","2-[(1S,2R,10S,11S,14R,15S)-14-hydroxy-2,15-dimethyl-5,17-dioxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-yl]-2-oxoethyl acetate","[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","chloromethyl (1S,2R,10S,11S,14R,15S,17S)-14,17-dihydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-diene-14-carboxylate","[H][C@@]12CC[C@](O)(C(=O)OCCl)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"FDAapprovedDrugs","(1R,2S,8S,10S,11S,14R,15S,17S)-14-acetyl-1-fluoro-14,17-dihydroxy-2,8,15-trimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-dien-5-one","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C"
"FDAapprovedDrugs","(1S,2R,8S,10R,11S,14R,15S)-14-acetyl-14-hydroxy-2,8,15-trimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","(1S,2R,10R,11S,14R,15S)-14-acetyl-14-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-6,8-dien-5-one","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","(1R,2S,8S,10S,11S,14R,15S,17S)-14-[2-(acetyloxy)acetyl]-1,8-difluoro-17-hydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-dien-14-yl butanoate","[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C"
"FDAapprovedDrugs","4-[(1S,2R,3R,5S,7S,10R,11S,14R,15R,17R)-3,7,11,17-tetrahydroxy-2-(hydroxymethyl)-15-methyl-5-{[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]-2,5-dihydrofuran-2-one","[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O"
"FDAapprovedDrugs","(1S,2R,10R,11S,14R,15S)-14-ethynyl-14-hydroxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(1S,10R,11S,14R,15S)-14-ethynyl-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-5,14-diol","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3"
"FDAapprovedDrugs","(1S,10R,11S,14R,15S)-14-ethynyl-5-methoxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-14-ol","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3"
"FDAapprovedDrugs","(1S,10R,11S,14R,15S)-5-(cyclopentyloxy)-14-ethynyl-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-14-ol","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC1CCCC1)C=C3"
"FDAapprovedDrugs","(1S,2R,13R,14S,17R,18S)-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.0^{2,10}.0^{4,8}.0^{14,18}]icosa-4(8),5,9-trien-17-ol","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3"
"FDAapprovedDrugs","(1S,2R,10S,11S,14R,15S)-15-ethyl-14-ethynyl-14-hydroxy-17-methylidenetetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(1S,2R,10S,11S,14R,15S)-15-ethyl-14-ethynyl-17-methylidenetetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-ol","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(1S,2R,10R,11S,14R,15S)-15-ethyl-14-ethynyl-14-hydroxytetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(10S,11S,14S,15S,17R)-17-[4-(dimethylamino)phenyl]-14-hydroxy-15-methyl-14-(prop-1-yn-1-yl)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-1,6-dien-5-one","[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","2-[(10S,11S,14R,15S)-14-hydroxy-15-methyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-1,6-dien-14-yl]acetonitrile (1S,10R,11S,14S,15S)-5-hydroxy-15-methyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2(7),3,5-trien-14-yl pentanoate","[H][C@@]12CC[C@@](O)(CC#N)[C@@]1(C)CCC1=C3CCC(=O)C=C3CC[C@@]21[H].[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3"
"FDAapprovedDrugs","(1S,2R,10R,11S,14R,15S)-15-methyl-14-(prop-2-en-1-yl)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-ol","[H][C@@]12CC[C@@](O)(CC=C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(1S,2R,5S,10R,11S,14R,15S)-5-(acetyloxy)-14-ethynyl-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-yl acetate","[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CC[C@H](OC(C)=O)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(1S,2R,5E,10R,11S,14R,15S)-15-ethyl-14-ethynyl-5-(hydroxyimino)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-yl acetate","[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CC\C(C=C3CC[C@@]21[H])=N/O"
"FDAapprovedDrugs","methyl (1'R,2R,2'S,9'R,10'R,11'S,15'S,17'R)-2',15'-dimethyl-5,5'-dioxo-18'-oxaspiro[oxolane-2,14'-pentacyclo[8.8.0.0^{1,17}.0^{2,7}.0^{11,15}]octadecan]-6'-ene-9'-carboxylate","[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC"
"FDAapprovedDrugs","(1'S,2R,2'R,9'R,10'R,11'S,15'S)-9'-(acetylsulfanyl)-2',15'-dimethylspiro[oxolane-2,14'-tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan]-6'-ene-5,5'-dione","[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O"
"FDAapprovedDrugs","(1R,4S,5R,8S,9R,10S,12R,13R)-10-methoxy-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.0^{4,13}.0^{8,13}]hexadecane","[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4"
"FDAapprovedDrugs","(1S,2R,7R,10S,11S,14S,15S)-N-tert-butyl-2,15-dimethyl-5-oxo-6-azatetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-3-ene-14-carboxamide","[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C"
"FDAapprovedDrugs","(1S,2R,8S,10S,11S,14S,15S,17S)-14-acetyl-17-hydroxy-2,8,15-trimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","(1R,2S,10S,11S,14S,15S)-14-acetyl-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-6,8-dien-5-one","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C"
"FDAapprovedDrugs","(1S,2R,10S,11S,14S,15S)-14-acetyl-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","(1S,10R,11S,14S,15S)-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-5,14-diol","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3"
"FDAapprovedDrugs","(1S,10R,11S,14S,15S)-14-hydroxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-5-yl N,N-bis(2-chloroethyl)carbamate","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OC(=O)N(CCCl)CCCl)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(1S,2S,4R,7S,10R,11S,14S,15S)-14-hydroxy-2,4,15-trimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-one","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)[C@H](C)C[C@]12C"
"FDAapprovedDrugs","(1S,2R,10R,11S,14S,15S)-14-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","(1S,9R,11S,14S,15S)-15-methyl-9-{9-[(4,4,5,5,5-pentafluoropentane)sulfinyl]nonyl}tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-5,14-diol","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])C2[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC2=CC(O)=CC=C12"
"FDAapprovedDrugs","methyl (1S,15R,18S,19R,20S)-18-hydroxy-3,13-diazapentacyclo[11.8.0.0^{2,10}.0^{4,9}.0^{15,20}]henicosa-2(10),4,6,8-tetraene-19-carboxylate","[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2"
"FDAapprovedDrugs","(1S,2R,10R,11S,14S,15S)-2,15-dimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-yl propanoate","[H][C@@]12CC[C@H](OC(=O)CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"FDAapprovedDrugs","(1S,2R,10R,11S,14S,15S)-15-methyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-yl 3-phenylpropanoate","[H][C@@]12CC[C@H](OC(=O)CCC3=CC=CC=C3)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","(1R,2R,3R,11S,12S,14R,26R)-5,6',12-trihydroxy-6,7'-dimethoxy-7,21,30-trimethyl-27-oxo-3',4'-dihydro-2'H-17,19,28-trioxa-24-thia-13,30-diazaspiro[heptacyclo[12.9.6.1^{3,11}.0^{2,13}.0^{4,9}.0^{15,23}.0^{16,20}]triacontane-26,1'-isoquinoline]-4(9),5,7,15(23),16(20),21-hexaen-22-yl acetate","[H][C@@]12CC3=C(C(O)=C(OC)C(C)=C3)[C@@]([H])(N1C)[C@@]1([H])N([C@H]2O)[C@@]2([H])COC(=O)[C@]3(CS[C@]1([H])C1=C(OC(C)=O)C(C)=C4OCOC4=C21)NCCC1=CC(O)=C(OC)C=C31"
"FDAapprovedDrugs","(4S,4aS,5aR,12aS)-4,7-bis(dimethylamino)-3,10,12,12a-tetrahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide","[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2"
"FDAapprovedDrugs","(4S,4aS,5aR,12aS)-9-[2-(tert-butylamino)acetamido]-4,7-bis(dimethylamino)-3,10,12,12a-tetrahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide","[H][C@@]12CC3=C(C=C(NC(=O)CNC(C)(C)C)C(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2)N(C)C"
"FDAapprovedDrugs","(1S,9R,10S)-17-(cyclobutylmethyl)-17-azatetracyclo[7.5.3.0^{1,10}.0^{2,7}]heptadeca-2(7),3,5-triene-4,10-diol","[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1"
"FDAapprovedDrugs","(1R,9S,15S)-15-amino-1-methyltricyclo[7.5.1.0^{2,7}]pentadeca-2,4,6-trien-4-ol","[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N"
"FDAapprovedDrugs","(1S,16R)-9,10,21,25-tetramethoxy-15,15,30,30-tetramethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2^{3,6}.1^{8,12}.1^{18,22}.0^{27,31}.0^{16,34}]hexatriaconta-3,5,8,10,12(34),18(33),19,21,24(32),25,27(31),35-dodecaene-15,30-diium","[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3"
"FDAapprovedDrugs","(1S,16R)-9,21-dihydroxy-10,25-dimethoxy-15,15,30-trimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2^{3,6}.1^{8,12}.1^{18,22}.0^{27,31}.0^{16,34}]hexatriaconta-3,5,8,10,12(34),18(33),19,21,24(32),25,27(31),35-dodecaen-15-ium","[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CCN1C)C2=C6)=C(O)C=C5)=CC(OC)=C4O)C=C3"
"FDAapprovedDrugs","(4R,7R)-N-(1-hydroxybutan-2-yl)-6,11-dimethyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),2,9,12,14-pentaene-4-carboxamide","[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO"
"FDAapprovedDrugs","[(2S,4R,7R)-2-methoxy-6,11-dimethyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),9,12,14-tetraen-4-yl]methyl 5-bromopyridine-3-carboxylate","[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CC(Br)=CN=C1)CN2C)OC"
"FDAapprovedDrugs","(2R,4R,7R)-4-[(methylsulfanyl)methyl]-6-propyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),9,12,14-tetraene","[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CSC)CN2CCC"
"FDAapprovedDrugs","1-[3-(dimethylamino)propyl]-3-ethyl-1-{[(2R,4R,7R)-6-(prop-2-en-1-yl)-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),9,12,14-tetraen-4-yl]carbonyl}urea","[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC"
"FDAapprovedDrugs","3,3-diethyl-1-[(4S,7R)-6-methyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),2,9,12,14-pentaen-4-yl]urea","[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC"
"FDAapprovedDrugs","(4R,7R)-N-[(2S)-1-hydroxypropan-2-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),2,9,12,14-pentaene-4-carboxamide","[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO"
"FDAapprovedDrugs","(4R,7R)-N-[(2S)-1-hydroxybutan-2-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),2,9,12,14-pentaene-4-carboxamide","[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO"
"FDAapprovedDrugs","(1S,10R,11S,15S)-5-hydroxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-14-one","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3"
"FDAapprovedDrugs","(1S,2R,10R,11S,15S)-2,15-dimethyl-8-methylidenetetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-diene-5,14-dione","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C"
"FDAapprovedDrugs","(1S,2R,10R,11S,15S)-6-hydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-6-ene-5,14-dione","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C"
"FDAapprovedDrugs","(3S)-3-{[(1S,3aR,6aS)-2-[(2S)-2-[(2S)-2-cyclohexyl-2-(pyrazin-2-ylformamido)acetamido]-3,3-dimethylbutanoyl]-octahydrocyclopenta[c]pyrrol-1-yl]formamido}-N-cyclopropyl-2-oxohexanamide","[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1"
"FDAapprovedDrugs","(2S,3aS,6aS)-1-[(2S)-2-{[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino}propanoyl]-octahydrocyclopenta[b]pyrrole-2-carboxylic acid","[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC"
"FDAapprovedDrugs","(1R,2S,7S,10S,11R)-7,11-dimethyl-6-oxatetracyclo[8.8.0.0^{2,7}.0^{11,16}]octadeca-12,15-diene-5,14-dione","[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)OC(=O)CC[C@@]21[H]"
"FDAapprovedDrugs","(1R,4aS,10aR)-1,4a-dimethyl-7-(propan-2-yl)-6-sulfo-1,2,3,4,4a,9,10,10a-octahydrophenanthrene-1-carboxylic acid","[H][C@@]12CCC3=CC(C(C)C)=C(C=C3[C@@]1(C)CCC[C@@]2(C)C(O)=O)S(O)(=O)=O"
"FDAapprovedDrugs","(3S,4aS,8aS)-N-tert-butyl-2-[(2R,3R)-2-hydroxy-3-[(3-hydroxy-2-methylphenyl)formamido]-4-(phenylsulfanyl)butyl]-decahydroisoquinoline-3-carboxamide","[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C"
"FDAapprovedDrugs","(1R,9R,10R)-17-methyl-17-azatetracyclo[7.5.3.0^{1,10}.0^{2,7}]heptadeca-2(7),3,5-trien-4-ol","[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2"
"FDAapprovedDrugs","(1R,9R,10R)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.0^{1,10}.0^{2,7}]heptadeca-2,4,6-triene","[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(OC)C=C2"
"FDAapprovedDrugs","(1R,9R,10R)-17-(prop-2-en-1-yl)-17-azatetracyclo[7.5.3.0^{1,10}.0^{2,7}]heptadeca-2(7),3,5-trien-4-ol","[H][C@@]12CCCC[C@@]11CCN(CC=C)[C@@H]2CC2=C1C=C(O)C=C2"
"FDAapprovedDrugs","(5R)-3-[(3S)-1-azabicyclo[2.2.2]octan-3-yl]-3-azatricyclo[7.3.1.0^{5,13}]trideca-1(13),9,11-trien-2-one","[H][C@@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2"
"FDAapprovedDrugs","(4R,7R)-10-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-(propan-2-yl)-3-oxa-6,9-diazatricyclo[7.3.0.0^{2,6}]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),2,9,12,14-pentaene-4-carboxamide","[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C"
"FDAapprovedDrugs","(2R,4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.0^{2,6}]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),9,12,14-tetraene-4-carboxamide","[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O"
"FDAapprovedDrugs","(4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.0^{2,6}]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),2,9,12,14-pentaene-4-carboxamide","[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O"
"FDAapprovedDrugs","1-N,9-N-bis[(6S,9R,10S,13R,18aS)-2,5,9-trimethyl-1,4,7,11,14-pentaoxo-6,13-bis(propan-2-yl)-hexadecahydro-1H-pyrrolo[2,1-i]1-oxa-4,7,10,13-tetraazacyclohexadecan-10-yl]-2-amino-4,6-dimethyl-3-oxo-3H-phenoxazine-1,9-dicarboxamide","[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C"
"FDAapprovedDrugs","(S)-[(2R,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl](6-methoxyquinolin-4-yl)methanol","[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1"
